1683722545.801202 client started (300290): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1683722545.801261 on Linux 6.2.0-76060200-generic #202302191831~1677858327~22.04~3cea1be SMP PREEMPT_DYNAMIC Fri M
1683722545.804560 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.804566 sending message 112 to peer 0x556a52d9eed0 (24 bytes)
1683722545.804573 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804579 sending message 112 to peer 0x556a52d9eed0 (9 bytes)
1683722545.804586 sending message 112 to peer 0x556a52d9eed0 (70 bytes)
1683722545.804593 sending message 112 to peer 0x556a52d9eed0 (69 bytes)
1683722545.804600 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804606 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.804613 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.804619 sending message 112 to peer 0x556a52d9eed0 (24 bytes)
1683722545.804626 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804633 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.804640 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.804647 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.804657 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804664 sending message 112 to peer 0x556a52d9eed0 (15 bytes)
1683722545.804670 sending message 112 to peer 0x556a52d9eed0 (5 bytes)
1683722545.804679 sending message 104 to peer 0x556a52d9eed0 (0 bytes)
1683722545.804686 sending message 110 to peer 0x556a52d9eed0 (0 bytes)
1683722545.804694 sending message 107 to peer 0x556a52d9eed0 (4 bytes)
1683722545.804701 sending message 105 to peer 0x556a52d9eed0 (33 bytes)
1683722545.804708 sending message 105 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804714 sending message 105 to peer 0x556a52d9eed0 (21 bytes)
1683722545.804721 sending message 105 to peer 0x556a52d9eed0 (8 bytes)
1683722545.804728 sending message 105 to peer 0x556a52d9eed0 (18 bytes)
1683722545.804734 sending message 105 to peer 0x556a52d9eed0 (20 bytes)
1683722545.804740 sending message 105 to peer 0x556a52d9eed0 (63 bytes)
1683722545.804747 sending message 105 to peer 0x556a52d9eed0 (28 bytes)
1683722545.804754 sending message 105 to peer 0x556a52d9eed0 (29 bytes)
1683722545.804761 sending message 105 to peer 0x556a52d9eed0 (16 bytes)
1683722545.804776 sending message 105 to peer 0x556a52d9eed0 (22 bytes)
1683722545.804783 sending message 105 to peer 0x556a52d9eed0 (54 bytes)
1683722545.804790 sending message 105 to peer 0x556a52d9eed0 (35 bytes)
1683722545.804796 sending message 105 to peer 0x556a52d9eed0 (51 bytes)
1683722545.804803 sending message 105 to peer 0x556a52d9eed0 (15 bytes)
